City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Novo Aripuana,BR,-5.1206,-60.3797,91.13,45,16,3.78,few clouds
251,Onguday,RU,50.75,86.15,57.79,94,82,1.9,broken clouds
252,Killarney,IE,52.05,-9.5167,75.25,43,0,4.61,clear sky
253,Buala,SB,-8.145,159.5921,79.23,81,45,2.89,light rain
254,Morant Bay,JM,17.8815,-76.4093,87.71,77,34,13.91,scattered clouds
255,Adrar,MR,20.5022,-10.0711,109.85,5,84,21.79,broken clouds
256,Pemangkat,ID,1.1667,108.9667,81.12,80,91,7.56,overcast clouds
257,Zyryanka,RU,65.75,150.85,65.91,68,6,8.03,clear sky
258,Sudova Vyshnya,UA,49.7889,23.3722,62.62,83,100,7.25,overcast clouds
259,Kodiak,US,57.79,-152.4072,53.11,82,100,3.44,light rain
260,Alekseyevsk,RU,57.8406,108.3492,51.12,89,32,1.95,scattered clouds
261,Mareeba,AU,-17.0,145.4333,63.32,87,10,2.75,clear sky
262,Chernyy Yar,RU,48.0624,46.1091,96.28,14,35,9.62,scattered clouds
263,The Valley,AI,18.217,-63.0578,86.09,70,20,13.8,few clouds
264,Honiara,SB,-9.4333,159.95,76.64,87,100,1.95,overcast clouds
265,Mamlyutka,KZ,54.9375,68.5394,78.82,54,45,12.57,scattered clouds
266,Ponta Delgada,PT,37.7333,-25.6667,74.12,73,75,8.05,broken clouds
267,Sarakhs,IR,36.5449,61.1577,96.71,13,0,15.79,clear sky
268,Qasigiannguit,GL,68.8193,-51.1922,36.18,95,100,6.87,overcast clouds
269,Leningradskiy,RU,69.3833,178.4167,42.84,64,100,7.81,overcast clouds
270,Kavieng,PG,-2.5744,150.7967,80.83,77,84,6.4,broken clouds
271,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,94,75,9.57,broken clouds
272,Belozerskoye,RU,55.8214,65.5842,73.54,56,2,6.85,clear sky
273,Korla,CN,41.7597,86.1469,94.26,18,4,5.14,clear sky
274,Acari,PE,-15.4311,-74.6158,68.02,61,67,4.97,broken clouds
275,Byron Bay,AU,-28.65,153.6167,52.95,86,20,12.33,light rain
276,Omsukchan,RU,62.5333,155.8,52.75,77,62,7.72,broken clouds
