City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Caramay,PH,80.08,light rain,10.1815,119.236,Peace and Love Beach Club
477,Shelbyville,US,81.32,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
478,Neftcala,AZ,83.07,clear sky,39.3742,49.2472,Otel restoran
481,Fereydunshahr,IR,80.73,overcast clouds,32.941,50.121,موسسه آسمان پرواز پرتیکان
484,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
485,Puerto Leguizamo,CO,76.55,overcast clouds,-0.1934,-74.7819,la casona de juancho
489,Sola,VU,79.25,clear sky,-13.8833,167.55,Leumerus Bungalows
490,Ures,MX,77.74,overcast clouds,29.4333,-110.4,HOTEL SAHUARO HOUSE
491,Kambia,SL,83.3,light rain,9.1167,-12.9167,Kambia Africana Village Hotel
496,Baker City,US,78.19,overcast clouds,44.7749,-117.8344,Bridge Street Inn
502,Nobeoka,JP,79.77,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
505,Lasa,IT,83.7,clear sky,46.6166,10.7002,Pension Feldgärtenhof
507,Sigli,ID,81.05,overcast clouds,5.3848,95.9609,Losmen Dua Mali
508,Winsum,NL,78.1,few clouds,53.33,6.5208,Tuinhuis
511,Santa Isabel Do Rio Negro,BR,87.69,clear sky,-0.4139,-65.0192,Hotel GSA
513,Namatanai,PG,78.55,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
514,Tancanhuitz,MX,77.38,clear sky,21.6,-98.9667,Sierra Bugambilias
517,Muroto,JP,83.52,overcast clouds,33.2833,134.15,Oota Ryokan
521,Bodden Town,KY,82.99,thunderstorm,19.2833,-81.25,Will T Place
523,Puerto Ayacucho,VE,80.8,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
525,Tebingtinggi,ID,77.07,broken clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
526,Puerto Boyaca,CO,78.21,overcast clouds,5.9758,-74.5885,hotel juanes
528,Waingapu,ID,76.51,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
529,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
530,Poso,ID,76.66,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
531,Xinyu,CN,84.87,broken clouds,27.8043,114.9334,Xinyu Beihu Hotel
535,Eyl,SO,84.67,overcast clouds,7.9803,49.8164,Amiin Hotel
537,Kalabo,ZM,89.82,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
539,Sarangani,PH,79.77,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
544,Fukue,JP,83.25,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
545,Hesla,IN,80.19,broken clouds,24.0667,85.8833,Chetlal Residence
546,Kailua,US,78.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
547,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
548,Scarborough,GB,78.33,scattered clouds,54.2797,-0.4044,The Grand Hotel Scarborough
551,Labuhan,ID,79.45,broken clouds,-6.8844,112.2051,DoubleFAG
555,Guipavas,FR,80.65,few clouds,48.4352,-4.3972,Brit Hotel Brest Le Relecq-Kerhuon
556,Berbera,SO,89.83,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
558,Cabatuan,PH,76.55,overcast clouds,10.8794,122.486,MVC Transient Room
559,Ara,IN,87.69,overcast clouds,25.5667,84.6667,Hotel The Regal- Arrah
560,Suksun,RU,78.6,broken clouds,57.1431,57.3949,Island Relax
565,Lazaro Cardenas,MX,79.29,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
566,Aberystwyth,GB,80.71,scattered clouds,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
567,Shingu,JP,79.25,overcast clouds,33.7333,135.9833,Shingu UI Hotel
569,Nurlat,RU,82.71,overcast clouds,54.4277,50.8051,Gostinitsa Zhiguli
570,Stillwater,US,80.87,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
571,Da Nang,VN,78.78,heavy intensity rain,16.0678,108.2208,Grand Mercure Danang
573,Meiktila,MM,76.08,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
577,Aguimes,ES,76.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
578,Kochubey,RU,87.06,few clouds,44.3861,46.5825,Europa
582,La Romana,DO,88.7,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
583,Shigony,RU,80.83,overcast clouds,53.3875,48.6777,Baza Otdykha Zarya
584,Fethiye,TR,87.67,few clouds,36.6217,29.1164,Club & Hotel Letoonia
586,Mahuva,IN,82.81,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
587,Bubaque,GW,80.31,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
590,Ejido,VE,79.18,scattered clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
593,Havre,FR,86.34,clear sky,49.5833,0.3333,gite bois jourdain
594,Black River,JM,88.41,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
597,Itoman,JP,84.58,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
601,Palma Di Montechiaro,IT,83.84,clear sky,37.1926,13.765,B&B Manca Residence
606,Melfi,IT,82.96,broken clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
610,Nandyal,IN,79.47,overcast clouds,15.4833,78.4833,Hotel Shobha
611,Kenitra,MA,79.56,clear sky,34.261,-6.5802,Bienvenue chez vous
614,Champerico,GT,79.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
615,Den Helder,NL,79.02,broken clouds,52.9599,4.7593,Hotel Den Helder
616,Fort-Shevchenko,KZ,79.39,broken clouds,44.5086,50.263,Oasis hotel Bautino
617,Pahrump,US,83.44,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
619,Manicore,BR,85.95,clear sky,-5.8092,-61.3003,Hotel Durval
621,Malakal,SS,78.26,light rain,9.5334,31.6605,Nile Palace Hotel
622,Trairi,BR,86.74,clear sky,-3.2778,-39.2689,janelas do mar
623,Rosetta,EG,82.2,clear sky,31.4044,30.4164,Green Valley
624,Singaraja,ID,78.62,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
625,Khandbari,NP,75.04,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
628,Aberdeen,GB,77.54,broken clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
633,Cazones,MX,82.2,broken clouds,20.7167,-97.3167,Hotel paraíso
651,La Asuncion,VE,87.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
652,San Blas,MX,76.89,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
655,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
657,Lakatoro,VU,76.8,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
661,Takoradi,GH,77.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
667,Lanzhou,CN,83.35,overcast clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
669,Tarakan,ID,78.3,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
670,Coahuayana,MX,81.39,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
674,Sabzevar,IR,88.88,scattered clouds,36.2126,57.6819,پزشکی قانونی سبزوار
675,Ishigaki,JP,82.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
678,Koson,UZ,82.72,few clouds,39.0375,65.585,Hakimov Alisherning uyi
681,Hurzuf,UA,82.56,broken clouds,44.55,34.2833,Krymskaya Volna.
682,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
684,Harper,LR,78.67,scattered clouds,4.375,-7.7169,Screensaver
